date,spend
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,10139.0
2022-01-04,8379.0
2022-01-05,9717.0
2022-01-06,8302.0
2022-01-07,7775.0
2022-01-08,9282.0
2022-01-09,9206.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,7660.0
2022-01-20,7868.0
2022-01-21,
2022-01-22,11137.0
2022-01-23,5343.0
2022-01-24,
2022-01-25,6367.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,6683.0
2022-02-15,7212.0
2022-02-16,8795.0
2022-02-17,8315.0
2022-02-18,7629.0
2022-02-19,4517.0
2022-02-20,7992.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,
2022-03-07,5112.0
2022-03-08,3407.0
2022-03-09,6898.0
2022-03-10,5558.0
2022-03-11,6983.0
2022-03-12,7704.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,3670.0
2022-03-29,10677.0
2022-03-30,6337.0
2022-03-31,10834.0
2022-04-01,8784.0
2022-04-02,9259.0
2022-04-03,10298.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,9146.0
2022-04-18,6515.0
2022-04-19,7164.0
2022-04-20,10549.0
2022-04-21,9620.0
2022-04-22,10150.0
2022-04-23,5262.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,12934.0
2022-05-06,6015.0
2022-05-07,10004.0
2022-05-08,9034.0
2022-05-09,8459.0
2022-05-10,10959.0
2022-05-11,8596.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,6730.0
2022-06-01,
2022-06-02,6011.0
2022-06-03,2875.0
2022-06-04,
2022-06-05,
2022-06-06,9569.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,10823.0
2022-06-24,6898.0
2022-06-25,4607.0
2022-06-26,7342.0
2022-06-27,7116.0
2022-06-28,7327.0
2022-06-29,8463.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,10195.0
2022-07-19,9961.0
2022-07-20,6515.0
2022-07-21,3676.0
2022-07-22,8511.0
2022-07-23,9977.0
2022-07-24,5297.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,10523.0
2022-08-09,8359.0
2022-08-10,4895.0
2022-08-11,9577.0
2022-08-12,7056.0
2022-08-13,7204.0
2022-08-14,8595.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,9132.0
2022-09-04,11342.0
2022-09-05,7784.0
2022-09-06,6609.0
2022-09-07,7917.0
2022-09-08,9074.0
2022-09-09,8103.0
2022-09-10,0.0
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,9536.0
2022-09-30,10895.0
2022-10-01,5725.0
2022-10-02,6121.0
2022-10-03,8042.0
2022-10-04,8755.0
2022-10-05,10245.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,9035.0
2022-10-17,8602.0
2022-10-18,11490.0
2022-10-19,
2022-10-20,7233.0
2022-10-21,8899.0
2022-10-22,8396.0
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,5821.0
2022-11-03,7688.0
2022-11-04,8075.0
2022-11-05,9169.0
2022-11-06,8007.0
2022-11-07,4747.0
2022-11-08,
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,8449.0
2022-11-24,0.0
2022-11-25,5371.0
2022-11-26,10174.0
2022-11-27,8363.0
2022-11-28,-9907.0
2022-11-29,7910.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,4803.0
2022-12-23,8924.0
2022-12-24,12048.0
2022-12-25,5273.0
2022-12-26,8379.0
2022-12-27,6676.0
2022-12-28,8851.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
